col_data0,col_data1,col_data2,col_data3,col_data4,col_data5
167,165,163,343,337,331
167,166,162,344,337,331
167,166,162,345,337,330
167,167,162,346,337,330
167,167,162,347,337,330
167,167,162,348,337,330
167,167,162,343,336,330
167,167,162,343,336,329
167,167,162,342,336,329
167,167,162,342,336,329
167,167,162,342,336,329
167,167,162,342,336,328
167,167,161,342,336,328
167,167,161,342,336,328
168,167,161,342,336,328
168,168,161,341,335,328
168,168,161,341,335,328
168,166,161,340,335,327
168,166,161,340,335,333
168,166,161,344,335,333
168,166,161,344,335,333
168,166,161,344,335,333
168,166,161,344,334,333
168,165,161,344,339,333
168,165,161,344,339,332
168,165,161,344,338,332
168,165,161,344,338,332
168,165,161,344,338,332
168,160,161,344,338,332
168,160,161,344,338,332
168,160,161,344,338,332
168,160,161,344,338,332
167,161,161,344,338,332
167,161,161,344,338,332
167,161,161,344,338,332
167,161,161,344,338,332
167,162,161,344,338,331
167,162,161,344,338,331
168,162,162,343,337,331
168,162,162,343,337,331
168,163,162,343,337,331
168,163,162,343,337,331
168,163,162,343,337,336
168,164,162,345,337,336
168,164,164,345,337,336
168,164,164,345,337,336
168,164,164,345,337,336
168,165,163,345,340,335
168,165,163,345,340,335
168,165,163,345,340,335
168,165,163,345,340,335
168,166,162,345,340,335
168,152,162,345,339,335
168,153,162,345,339,335
168,153,161,345,339,334
168,153,161,345,339,334
168,154,161,345,339,334
168,154,161,344,339,334
168,154,161,344,339,334
168,154,161,344,339,334
168,155,161,344,339,334
168,155,161,344,339,334
169,155,161,344,339,334
169,156,161,344,339,333
169,156,161,344,339,333
169,156,161,344,339,333
169,157,161,344,339,341
169,157,161,345,339,341
169,157,166,345,339,341
169,158,166,345,339,340
169,158,167,345,339,340
169,158,167,345,341,340
169,159,168,345,340,340
169,159,168,345,340,340
168,159,168,345,340,340
168,159,168,345,340,339
168,146,167,345,340,339
168,147,167,345,340,339
168,148,167,345,340,339
168,148,166,345,340,339
168,148,166,345,340,338
168,149,166,345,340,338
168,149,165,345,340,338
168,149,165,345,340,338
168,149,165,345,340,337
168,150,164,345,340,337
166,150,164,345,340,337
167,150,164,345,340,337
168,150,164,345,340,337
168,151,164,345,340,337
169,151,164,345,340,346
169,151,164,345,340,346
169,152,176,345,340,345
169,152,176,345,340,345
171,152,176,345,340,345
170,,176,345,341,345
170,,143,345,341,345
170,,144,345,341,344
170,,145,345,341,344
170,,145,345,341,344
169,,146,345,341,344
169,,163,345,341,344
172,,164,345,341,343
172,,165,345,341,343
172,,180,345,341,343
172,,180,345,341,343
172,,179,345,341,342
172,,179,345,341,342
172,,179,345,341,342
